name,ring,quadrant,isNew,description
Apache Airflow,Adopt,Data & AI,FALSE,Industry standard orchestration and scheduling framework written in Python and maintained by Apache foundation. Version 2.0 was recently published with major improvements.
Apache Avro,Adopt,Data & AI,FALSE,"Apache Avro is a data serialization framework that provides a compact binary data format. It's used for data exchange between systems and supports schema evolution, making it a versatile choice for data storage and interchanging data in big data ecosystems"
Apache Orc,Adopt,Data & AI,FALSE,Apache Orc (Optimized Row Columnar) is a columnar storage file format often used for big data analytics. It is highly efficient for reading and writing large datasets and is widely used in the Hadoop ecosystem.
Apache Parquet,Adopt,Data & AI,FALSE,"Apache Parquet is another columnar storage file format designed for efficiency and compatibility with various data processing frameworks. It is often used in big data and analytics platforms, including Hadoop and Apache Spark."
Azure Cosmos DB,Adopt,Data & AI,FALSE,"Azure CosmosDB is a globally distributed, multi-model database service in Microsoft Azure. It supports various data models, including document, graph, key-value, and column-family, making it suitable for diverse application scenarios."
Azure SQL DB,Adopt,Data & AI,FALSE,"Azure SQL Database (Azure SQL DB) is a managed relational database service by Microsoft Azure. It is compatible with Microsoft SQL Server and offers scalability, high availability, and security features."
dbt,Adopt,Data & AI,FALSE,dbt (data build tool) is an open-source tool for transforming and modeling data in your data warehouse. It helps data engineers and analysts create and manage data transformations in a version-controlled manner.
HDFS,Adopt,Data & AI,FALSE,HDFS (Hadoop Distributed File System) is the primary storage system used by Hadoop for distributed data processing. It is designed for handling large-scale data across clusters of computers.
Hive,Adopt,Data & AI,FALSE,Apache Hive is a data warehousing and SQL-like query language built on top of Hadoop. It enables users to query and analyze data stored in Hadoop using SQL-like syntax.
Json,Adopt,Data & AI,FALSE,JSON (JavaScript Object Notation) is a lightweight data interchange format that is easy for humans to read and write and easy for machines to parse and generate. It is commonly used for data exchange between web services and as a configuration format for applications.
MongoDB,Adopt,Data & AI,FALSE,"MongoDB is a NoSQL database management system that is designed for the storage of unstructured and semi-structured data. It offers flexibility and scalability, making it a popular choice for applications that require fast and efficient data access, such as content management systems and real-time analytics."
PostgreSQL,Adopt,Data & AI,FALSE,"PostgreSQL is an open-source relational database management system. It is known for its extensibility, data integrity, and support for advanced features. PostgreSQL is widely used in both small and large-scale applications for data storage and retrieval."
ProtoBuff,Adopt,Data & AI,FALSE,"Protocol Buffers, or ProtoBuf, is a language-agnostic data serialization format developed by Google. It is efficient and extensible, making it ideal for data interchange between applications and services."
Spark,Adopt,Data & AI,FALSE,"Spark (Apache Spark) is a fast, in-memory data processing framework used for big data analytics, machine learning, and real-time processing."
YAML,Adopt,Data & AI,FALSE,YAML is a human-readable data serialization format that is often used for configuration files and data interchange. It is particularly popular in DevOps and configuration management.
Amazon Glue,Asses,Data & AI,FALSE,Retrieving data. Wait a few seconds and try to cut or copy again.
HBase,Asses,Data & AI,FALSE,"Apache HBase is a NoSQL, distributed, and scalable database that is modeled after Google's Bigtable. It is designed for handling large amounts of sparse data and is often used in applications requiring real-time read and write access to big data."
Apache Gobblin,Hold,Data & AI,FALSE,Dsitributed data integration framework with a versatile integration capabilities but challenging to deploy and implement.
CSV,Hold,Data & AI,FALSE,CSV (Comma-Separated Values) is a simple file format used for storing tabular data. It consists of data fields separated by commas and is widely used for data exchange between systems and as a common format for spreadsheets.
DB2 DB,Hold,Data & AI,FALSE,"IBM Db2 is a family of data management products, including relational database management systems and data warehouse solutions. It is designed for data storage, retrieval, and management in enterprise applications."
Noria,Hold,Data & AI,FALSE,Retrieving data. Wait a few seconds and try to cut or copy again.
OracleDB,Hold,Data & AI,FALSE,"Oracle Database is a powerful, enterprise-grade relational database management system. It is known for its scalability and security and is commonly used in large-scale applications for finance, healthcare, and government where data integrity is crucial."
SQL Server DB,Hold,Data & AI,FALSE,"SQL Server Database is a relational database management system developed by Microsoft. It is widely used for storing, managing, and retrieving structured data in a secure and scalable manner."
XML,Hold,Data & AI,FALSE,XML is a versatile and human-readable markup language used for structuring data in a hierarchical format. It is often used for data exchange and configuration files.
Firebolt,Trial,Data & AI,FALSE,Firebolt is a cloud-native data warehouse designed for high performance and scalability. It is optimized for data analytics and real-time processing.
Dash,Assess,Data & AI,FALSE,Dash is an open-source framework for building interactive web applications with Python. It allows developers to create data visualizations and web apps with ease.
GPT (Generative Pre-trained Transformer),Assess,Data & AI,FALSE,GPT (Generative Pre-trained Transformer) is a type of neural network architecture used for natural language processing tasks. It is pre-trained on large text corpora and can generate human-like text.
Kubeflow,Assess,Data & AI,FALSE,"Kubeflow is an open-source platform for machine learning and data science that is integrated with Kubernetes, facilitating end-to-end ML workflows."
MLflow,Assess,Data & AI,FALSE,"MLflow is an open-source platform for managing machine learning lifecycles, including experiment tracking, model packaging, and deployment."
Pandas,Assess,Data & AI,FALSE,Pandas is an open-source data manipulation library for Python that provides data structures and functions for data analysis and preprocessing.
Plotly,Assess,Data & AI,FALSE,Plotly is an open-source data visualization library that provides interactive and customizable charts for data analysis and presentation.
PyTorch,Assess,Data & AI,FALSE,PyTorch is an open-source machine learning framework that is widely used for deep learning and artificial intelligence research and applications.
spaCy,Assess,Data & AI,FALSE,"spaCy is an open-source natural language processing library for Python, known for its speed and accuracy in various NLP tasks."
SQLAlchemy,Assess,Data & AI,FALSE,"Tabnine is an AI-powered code completion tool that uses machine learning to suggest code as developers type, improving productivity."
Sqoop,Assess,Data & AI,FALSE,Sqoop is a tool designed to transfer data between Hadoop and relational databases or mainframes. Commonly used for that purpose in On Premise Hadoop distributions.
TensorFlow,Assess,Data & AI,FALSE,TensorFlow (again) is included in this table to emphasize its significance in machine learning and deep learning.
Transformers,Assess,Data & AI,FALSE,"Transformers are a class of machine learning models that have shown remarkable performance in natural language processing and other tasks, including GPT-3 and BERT."
CI/CD,Adopt,Methods & Patterns,FALSE,"CI/CD (Continuous Integration/Continuous Deployment) is a software development practice that involves automating the building, testing, and deployment of software changes to ensure rapid and reliable releases."
Data Mesh,Adopt,Methods & Patterns,FALSE,"Data Mesh is an emerging architectural approach for managing and scaling data in a decentralized and domain-oriented way, with a focus on data quality and access control."
Data Quality and Governance,Adopt,Methods & Patterns,FALSE,"Data Quality and Governance involves practices and processes to ensure data accuracy, reliability, and compliance with regulations. It is crucial for maintaining trustworthy and valuable data assets."
Design Patterns,Adopt,Methods & Patterns,FALSE,Design Patterns are recurring solutions to common software design problems. They provide best practices for structuring code to address various design and architectural challenges.
Event Driven,Adopt,Methods & Patterns,FALSE,Event Driven refers to a software architecture or design approach where components communicate through events and messages. It is commonly used in event sourcing and microservices architectures.
Git,Adopt,Methods & Patterns,FALSE,Git is a distributed version control system used for tracking changes in source code and collaborating on software development projects.
GitOps,Adopt,Methods & Patterns,FALSE,"GitOps is a set of practices for using Git as the source of truth for infrastructure and application deployments, enabling declarative and automated operations."
Infrastructure as Code,Adopt,Methods & Patterns,FALSE,"Infrastructure as Code (IaC) is a practice where infrastructure is defined and managed through code, automating the provisioning and configuration of resources."
Kanban,Adopt,Methods & Patterns,FALSE,"Kanban is a project management methodology that emphasizes visualizing work, limiting work in progress, and optimizing workflow efficiency."
Microservice,Adopt,Methods & Patterns,FALSE,"Microservices is an architectural style where software applications are structured as small, independent services that communicate through APIs."
Scrum,Adopt,Methods & Patterns,FALSE,"Scrum is an agile project management framework used for iterative and incremental development, primarily in software development."
Test-Driven Development,Adopt,Methods & Patterns,FALSE,"Test-Driven Development (TDD) is a software development practice that involves writing tests before writing the code, ensuring that the code meets the specified requirements."
Slurm,Asses,Methods & Patterns,FALSE,"Slurm is an open source, fault-tolerant, and highly scalable cluster management and job scheduling system for large and small Linux clusters used for High Processing Computing."
Tableau,Asses,Methods & Patterns,FALSE,Tableau is a data visualization software that is used for data science and business intelligence. Tableau can create a wide range of different visualization to interactively present the data and showcase insights. It comes with tools that allow to drill down data and see the impact in a visual format that can be easily understood by any individual. Tableau also comes with real-time data analytics capabilities and cloud support.
IBM Datastage,Hold,Methods & Patterns,FALSE,IBM's ETL tool and part of the IBM Information Platforms Solutions suite and IBM InfoSphere.
Knime,Hold,Methods & Patterns,FALSE,"Free and open-source data analytics, reporting and integration platform. KNIME integrates various components for machine learning and data mining through its modular data pipelining ""Lego of Analytics"" concept . A graphical user interface and use of JDBC allows assembly of nodes blending different data sources, including preprocessing, for modeling, data analysis and visualization without, or with only minimal, programming."
Oracle Apex,Hold,Methods & Patterns,FALSE,Oracle Apex (Application Express) is a low-code development platform for building web applications on the Oracle Database.
Oracle Data Integrator,Hold,Methods & Patterns,FALSE,Oracle's ETL tool for intergrating data from different sources into a warehouse.
Talend,Hold,Methods & Patterns,FALSE,"Talend is an ETL tool for Data Integration which provides software solutions for data preparation, data quality, data integration, application integration, data management and big data. Talend has a separate product for all these solutions. Data integration and big data products are widely used. Comes with a basic free version and a premium one."
CDC,Trial,Methods & Patterns,FALSE,CDC (Change Data Capture) is a technique used in databases to identify and capture changes in data so that they can be replicated or processed elsewhere. It is valuable for maintaining data consistency and data integration.
Monitoring and Logging,Trial,Methods & Patterns,FALSE,"Monitoring and Logging involve the collection and analysis of data about system performance, errors, and other events to ensure the reliability and stability of software systems."
Service Mesh,Trial,Methods & Patterns,FALSE,"Service Mesh is a network infrastructure layer that provides communication, security, and observability capabilities for microservices applications."
Behavior-Driven Development,Assess,Methods & Patterns,FALSE,"Behavior-Driven Development (BDD) is a software development methodology that focuses on defining and testing the behavior of a software system from the user's perspective. It encourages collaboration between developers, testers, and non-technical stakeholders to create a common understanding of system behavior."
CQRS,Assess,Methods & Patterns,FALSE,"CQRS (Command Query Responsibility Segregation) is a design pattern that separates the read and write operations for data in a system, allowing for more flexibility and scalability in data handling."
Design for Failure,Assess,Methods & Patterns,FALSE,"Design for Failure is a design principle in software engineering that encourages building systems with the assumption that components will fail, and the system should gracefully handle such failures."
Hexagonal Architecture,Assess,Methods & Patterns,FALSE,"Hexagonal Architecture is a software design pattern that promotes the separation of application core logic from external concerns, leading to more modular and testable code."
Lambda Architecture,Assess,Methods & Patterns,FALSE,"Lambda Architecture is a data processing architecture designed to handle large-scale, real-time data by combining batch and stream processing."
Model Deployment and Orchestration,Assess,Methods & Patterns,FALSE,Model Deployment and Orchestration refers to the process of deploying machine learning models into production and managing their lifecycle for ongoing use.
Model Explainability and Interpretability,Assess,Methods & Patterns,FALSE,Model Explainability and Interpretability involves techniques and tools to make machine learning models more transparent and understandable.
Model Retraining and AutoML,Assess,Methods & Patterns,FALSE,Model Retraining and AutoML refers to the practice of periodically updating and improving machine learning models with new data or using automated machine learning tools.
Model Versioning,Assess,Methods & Patterns,FALSE,Model Versioning is the practice of tracking and managing different versions of machine learning models to ensure reproducibility and control over model changes.
Saga,Assess,Methods & Patterns,FALSE,"Saga is a design pattern for managing distributed transactions across multiple microservices, ensuring data consistency and reliability."
THINK AGAIN,Assess,Methods & Patterns,FALSE,"THINK AGAIN is a concept suggesting a reconsideration or reevaluation of a decision or approach, often to improve or optimize the outcome."
Bash,Adopt,Software engineering,FALSE,Bash is a Unix shell and command language used in various Unix-like operating systems. It provides a command-line interface for interacting with the operating system and executing scripts.
Go,Adopt,Software engineering,FALSE,"Go (Golang) is a programming language developed by Google. It is known for its simplicity, efficiency, and strong support for concurrent programming."
Java,Adopt,Software engineering,FALSE,"Java is a popular, object-oriented programming language known for its portability and wide range of applications, from desktop software to web and mobile development."
Java Spring Boot,Adopt,Software engineering,FALSE,"Java Spring Boot is a framework for building Java-based, microservices and web applications. It simplifies development by providing pre-configured templates and tools."
PLSQL,Adopt,Software engineering,FALSE,PLSQL (Procedural Language for SQL) is Oracle's extension of SQL that allows developers to write procedural code within the database.
Python,Adopt,Software engineering,FALSE,"Python is a high-level programming language known for its readability, versatility, and extensive library support. It is used in various domains, including web development, data science, machine learning, automation, and scientific computing. Python is favored for its simplicity and community support."
SQL,Adopt,Software engineering,FALSE,"SQL (Structured Query Language) is a powerful and standardized programming language used for managing and manipulating relational databases. It allows users to define, retrieve, update, and manipulate data, as well as create and modify database structures. SQL is widely employed in various applications, making it an essential tool for data management and analysis in the field of database management and data-driven decision-making."
Terraform,Adopt,Software engineering,FALSE,"Terraform is an Infrastructure as Code (IaC) tool that enables users to provision and manage cloud resources and infrastructure using declarative configuration files. It is agnostic to cloud providers, allowing users to manage resources in various cloud environments consistently and efficiently."
Apache Superset,Asses,Software engineering,FALSE,Apache Superset is an Open Source data exploration and visualization platform with connectors for multiple data sources.
C,Asses,Software engineering,FALSE,C is a general-purpose programming language originally developed at Bell Labs. It is widely used for system programming and has influenced the development of many other programming languages.
GraphQL,Asses,Software engineering,FALSE,GraphQL is a query language for APIs that enables clients to request exactly the data they need and nothing more. It provides a more efficient and flexible way to interact with data.
Perl,Asses,Software engineering,FALSE,"Perl is a high-level, general-purpose programming language known for its text processing and scripting capabilities."
R,Asses,Software engineering,FALSE,R is a programming language and environment for statistical computing and data analysis. It is commonly used in data science and statistical modeling.
Scala,Asses,Software engineering,FALSE,"Scala is a high-level programming language that combines functional and object-oriented programming paradigms, often used for building scalable and concurrent systems."
Docker Swarm,Hold,Software engineering,FALSE,"Docker Swarm is Docker's native clustering and orchestration solution for managing a cluster of Docker nodes. It simplifies the deployment, scaling, and load balancing of containers across a cluster of machines."
Drools,Hold,Software engineering,FALSE,Drools is an open-source business rule management system that allows developers to create and manage business rules and logic in applications.
JavaScript,Hold,Software engineering,FALSE,"JavaScript is a widely used programming language primarily for web development, known for its role in client-side scripting and web interactivity."
.NET,Trial,Software engineering,FALSE,.NET is a software framework developed by Microsoft for building Windows applications and web services. It supports various programming languages and provides tools for developing a wide range of applications.
C#,Trial,Software engineering,FALSE,"C# (C-Sharp) is a modern, object-oriented programming language developed by Microsoft. It is commonly used for building Windows applications and is a key component of the .NET ecosystem."
Docker Compose,Trial,Software engineering,FALSE,"Docker Compose is a tool for defining and running multi-container Docker applications. It allows you to specify and configure all the services your application needs in a single YAML file, making it easier to manage complex containerized applications."
OpenAPI,Trial,Software engineering,FALSE,"OpenAPI is an open-source specification for designing, documenting, and developing RESTful APIs. It provides a standardized way to describe APIs and generate client SDKs."
OpenTelemetry,Trial,Software engineering,FALSE,"OpenTelemetry is an open-source project that provides a set of APIs, libraries, agents, and instrumentation to enable observability and monitoring of cloud-native applications."
Rust,Trial,Software engineering,FALSE,"Rust is a systems programming language known for its focus on safety, performance, and memory management without manual memory handling."
Hadoop,Assess,Software engineering,FALSE,"Apache Hadoop is a collection of open-source software utilities that facilitates using a network of many computers to solve problems involving massive amounts of data and computation. It provides a software framework for distributed storage and processing of big data using the MapReduce programming model. It is still relevant today and mostly for on premise processesing. While Cloud deployments exists, today better alternatives exist."
Amazon DynamoDB,Adopt,Tools & Platforms,FALSE,"Amazon DynamoDB is a fully managed NoSQL database service by AWS. It is designed for high-performance, low-latency, and scalable applications, making it suitable for various use cases."
Amazon EKS,Adopt,Tools & Platforms,FALSE,Amazon EKS is Amazon Elastic Kubernetes Service (EKS) is a managed Kubernetes service provided by AWS. It simplifies the deployment and management of containerized applications using Kubernetes orchestration.
Amazon KMS,Adopt,Tools & Platforms,FALSE,Amazon KMS is Amazon Key Management Service (KMS) is a fully managed service for creating and controlling encryption keys. It is used to secure data and resources on AWS by providing robust key management capabilities.
Amazon Lambda,Adopt,Tools & Platforms,FALSE,AWS Lambda is a serverless computing service offered by Amazon Web Services. It enables developers to run code in response to events without provisioning or managing servers.
Amazon RDS,Adopt,Tools & Platforms,FALSE,"Amazon RDS is Amazon Relational Database Service (RDS) is a managed database service on AWS. It supports multiple database engines like MySQL, PostgreSQL, and SQL Server, and simplifies database administration tasks."
Amazon Redshift,Adopt,Tools & Platforms,FALSE,Amazon Redshift is a fully managed data warehouse service in the AWS cloud. It is designed for high-performance querying and analysis of large datasets. Redshift is commonly used for data warehousing and business intelligence applications.
Amazon S3,Adopt,Tools & Platforms,FALSE,"Amazon S3 (Simple Storage Service) is an object storage service provided by Amazon Web Services. It is used for storing and retrieving data in the form of objects, making it a fundamental component for data storage, backup, and web hosting."
Amazon Step Functions,Adopt,Tools & Platforms,FALSE,"Amazon Step Functions is Amazon Step Functions is a serverless orchestration service that allows you to coordinate multiple AWS services into serverless workflows. It simplifies the creation of complex, event-driven applications."
Apache Airflow,Adopt,Tools & Platforms,FALSE,Industry standard orchestration and scheduling framework written in Python and maintained by Apache foundation. Version 2.0 was recently published with major improvements.
Apache Beam,Adopt,Tools & Platforms,FALSE,Apache Beam is an open-source unified data processing model and SDK that allows you to write batch and streaming data processing pipelines that can run on various data processing engines such as Apache Spark and Google Cloud Dataflow.
Apache Cassandra,Adopt,Tools & Platforms,FALSE,"Apache Cassandra is a NoSQL database management system known for its high scalability and fault-tolerance. It's used for handling massive amounts of data across multiple commodity servers, making it a popular choice for internet-scale applications."
Apache Kafka,Adopt,Tools & Platforms,FALSE,Open Source version of the number one streaming platform.
Azure AKS,Adopt,Tools & Platforms,FALSE,"Azure AKS is Microsoft Azure's managed Kubernetes service. It simplifies the deployment, management, and scaling of containerized applications using Kubernetes on the Azure cloud platform."
Azure Blob Storage,Adopt,Tools & Platforms,FALSE,"Azure Blob Storage is Microsoft's cloud-based object storage service. It offers scalable storage for unstructured data and is commonly used for data backups, archiving, and serving media files."
Azure Container Registry,Adopt,Tools & Platforms,FALSE,Azure Container Registry is a managed container registry service by Microsoft Azure. It enables the storage and management of container images for Docker and other container-based applications.
Azure Data Factory,Adopt,Tools & Platforms,FALSE,Azure Data Integration tool which can fetch data from anywhere and store it in cloud.
Azure Databricks,Adopt,Tools & Platforms,FALSE,"Databricks is an industry-leading, cloud-based data engineering tool used for processing and transforming massive quantities of data and exploring the data through machine learning models. This Apache-Spark based platform runs a distributed system behind the scenes, meaning the workload is automatically split across various processors and scales up and down on demand. Supported languages for manipulating data are Python, Scala, SQL and R."
Azure Datalake,Adopt,Tools & Platforms,FALSE,Azure Data Lake is a scalable and secure data lake storage service in Microsoft Azure. It allows you to store and analyze large volumes of data with high performance and offers features for data analytics and processing.
Azure DevOps,Adopt,Tools & Platforms,FALSE,"Azure DevOps is a set of development tools and services by Microsoft Azure for end-to-end software development, including source code management, build automation, testing, and release management."
Azure Event Hubs,Adopt,Tools & Platforms,FALSE,Data streaming platform for event ingestion. Provides users with more control and management options over underlying infrastructure. Recommended for streaming data onto persistent storage or into analytical systems.
Azure Functions,Adopt,Tools & Platforms,FALSE,"Azure Functions is a serverless compute service in Microsoft Azure. It allows developers to build and deploy event-driven, serverless functions that can respond to various triggers and events."
